patient_id	label	beta	alpha_norm	alpha_pc1	alpha_pc2	alpha_pc3	alpha_pc4	alpha_pc5
RA_tissue_138	active	0.000136	0.964710	0.002266	-0.088048	0.050205	0.101794	0.037009
RA_tissue_139	active	0.000221	0.964732	0.009824	-0.001851	-0.027141	0.016245	0.045449
RA_tissue_14	active	0.000272	0.968858	0.037653	0.120187	0.074252	0.013959	0.013029
RA_tissue_140	active	0.000225	0.969275	0.029168	0.041812	0.063704	0.053613	0.015907
RA_tissue_141	active	0.000318	0.960291	-0.023241	0.103581	0.014950	0.063941	-0.015577
RA_tissue_142	active	0.000282	0.961530	0.025825	0.107280	0.086493	-0.055377	0.027509
RA_tissue_143	active	0.000312	0.963679	0.025629	0.145201	-0.100654	-0.041981	0.070135
RA_tissue_144	active	0.000223	0.969231	0.015422	0.135052	-0.067146	-0.049678	0.089602
RA_tissue_145	active	0.000252	0.967233	-0.036423	0.055603	0.127468	-0.102038	0.110192
RA_tissue_146	active	0.000260	0.967846	0.054392	0.089470	-0.021238	0.076700	-0.002063
RA_tissue_147	active	0.000253	0.962848	0.064454	0.038303	0.046609	0.038468	0.029558
RA_tissue_148	active	0.000244	0.959010	0.031270	0.041477	0.007820	0.048619	-0.007380
RA_tissue_149	active	0.000274	0.960215	-0.079766	0.074979	-0.016179	0.165684	-0.018949
RA_tissue_15	active	0.000231	0.963926	0.042152	0.054389	-0.013774	0.098332	-0.003275
RA_tissue_150	active	0.000273	0.964797	0.017147	0.106554	-0.157254	0.003537	0.032125
RA_tissue_151	active	0.000167	0.960310	-0.094901	0.022359	0.073979	-0.051204	-0.065583
RA_tissue_152	active	0.000260	0.959244	-0.051325	0.108646	0.016454	0.165280	0.053935
RA_tissue_16	active	0.000261	0.964406	0.077222	-0.055539	0.045204	-0.003406	0.058211
RA_tissue_17	active	0.000281	0.967723	0.117108	0.020051	0.001054	0.072420	-0.021158
RA_tissue_18	active	0.000218	0.963039	0.021583	-0.013735	-0.021608	0.143604	-0.035441
RA_tissue_19	active	0.000268	0.962598	0.119561	-0.091395	-0.012952	0.095148	-0.059507
RA_tissue_2	active	0.000233	0.967048	0.057289	-0.025374	-0.105152	0.025979	-0.031141
RA_tissue_20	active	0.000061	0.971019	-0.159699	-0.030694	0.040989	-0.024820	-0.153209
RA_tissue_21	active	0.000210	0.968948	0.055614	-0.035538	0.010714	0.008303	-0.079897
RA_tissue_22	active	0.000146	0.968379	0.080078	-0.097084	0.016323	-0.004824	-0.047146
RA_tissue_23	active	0.000100	0.966594	-0.204384	-0.031068	0.051211	0.069729	0.009360
RA_tissue_24	active	0.000223	0.964798	0.096570	-0.053040	0.060323	-0.029357	0.005629
RA_tissue_25	active	0.000161	0.966346	0.083980	-0.005796	0.065383	-0.059555	-0.014613
RA_tissue_26	active	0.000245	0.963873	0.047221	0.068799	-0.007914	0.082962	0.041592
RA_tissue_27	active	0.000215	0.974870	0.051350	-0.028197	-0.006450	-0.021785	-0.061258
RA_tissue_28	active	0.000159	0.962608	0.079687	-0.026783	0.049907	-0.101057	0.003660
RA_tissue_29	active	0.000161	0.965503	0.058121	-0.030371	0.057108	-0.016623	0.003211
RA_tissue_3	active	0.000235	0.967352	0.014904	0.127504	-0.174799	0.030690	0.031854
RA_tissue_30	active	0.000147	0.970170	-0.013514	-0.062972	0.050559	-0.046291	0.008347
RA_tissue_31	active	0.000178	0.968082	0.120514	-0.046085	0.067815	-0.089386	-0.019746
RA_tissue_32	active	0.000152	0.966651	-0.065425	0.087355	0.082315	-0.080198	-0.060560
RA_tissue_33	active	0.000242	0.959416	0.015636	0.075775	0.062871	0.031999	0.052220
RA_tissue_34	active	0.000219	0.960218	0.051747	-0.032766	0.004755	0.020504	-0.014200
RA_tissue_35	active	0.000160	0.962772	0.069010	-0.051330	-0.016561	-0.094895	0.003825
RA_tissue_36	active	0.000157	0.966882	0.007303	0.018784	0.098060	-0.091282	-0.065256
RA_tissue_37	active	0.000266	0.963994	0.016702	0.079877	0.014260	0.026138	-0.003505
RA_tissue_38	active	0.000148	0.966470	0.064951	-0.075679	-0.048150	-0.076906	0.080215
RA_tissue_39	active	0.000154	0.967516	0.028240	-0.002121	-0.116514	-0.079846	0.014675
RA_tissue_4	active	0.000213	0.969673	0.099830	-0.114832	0.014449	0.002197	-0.031396
RA_tissue_40	active	0.000197	0.963894	0.001002	0.037459	0.051160	0.020283	0.013393
RA_tissue_41	active	0.000212	0.970074	0.041423	0.061867	-0.060023	-0.094197	0.076623
RA_tissue_42	active	0.000217	0.970526	0.049857	-0.148288	0.059589	-0.024760	0.014517
RA_tissue_43	active	0.000191	0.962974	0.075309	0.065480	-0.101376	-0.132349	0.062219
RA_tissue_44	active	0.000129	0.971376	0.028002	-0.173716	0.073852	0.000258	0.028682
RA_tissue_45	active	0.000143	0.970653	0.043468	-0.085770	0.031288	-0.014486	0.011560
RA_tissue_46	active	0.000193	0.959571	0.039526	-0.095006	0.028775	0.010529	-0.020863
RA_tissue_47	active	0.000185	0.962747	0.022865	-0.104945	-0.049795	0.085711	-0.103465
RA_tissue_48	active	0.000180	0.966989	0.081816	-0.123026	0.034586	0.052582	0.049718
